"","STORE","LONG","LAT","ZIP.CODE","CITY","ALLAN","BLISS","BREATHSAVERS","BROOKSIDE","BUBBLE.YUM","CADBURY","CANE.STK","CANISTER","GOOD.N.PLENTY","HEATH","HERSHEY.ARTISAN","HERSHEY.CHOC.ASST","HERSHEY.CHOC.REM","HERSHEY.GUM.REM","HERSHEY.NCHOC.REM","HERSHEY.SUGAREE.BFY","ICE.BREAKERS","JOLLY.RANCHER","KISSES","KIT.KAT","LANCASTER","LORENA","ALMOND.JOY","PAYDAY","PELON","POT.OF.GOLD","REESE","ROLO","SL.HARD.ROLL","SNACK.BITES","TAKE5","TOTAL"
"1","Big Kmart",-71.082223,42.393692,2145,"Boston",0,175,482,1584,209,4076,372,0,563,597,0,6433,1298,0,702,772,3558,5159,10347,10055,348,0,2172,1167,0,330,16774,1438,0,0,0,68611
"2","Cumberland Farms",-70.980762,42.382472,2152,"Boston",0,0,191,0,0,777,0,0,0,0,0,0,586,0,0,0,470,414,21,2070,0,0,855,172,0,0,5654,76,0,0,409,11695
"3","Cumberland Farms",-71.035482,42.334131,2127,"Boston",0,0,283,0,0,777,0,0,34,0,0,0,797,0,0,0,423,426,33,1792,0,0,492,148,0,0,5367,13,0,0,444,11029
"4","Cumberland Farms",-71.153844,42.342058,2135,"Boston",0,0,164,0,0,797,0,0,0,0,0,0,444,0,0,0,679,309,17,1605,0,0,381,184,0,0,4393,0,0,0,302,9275
"5","Cumberland Farms",-71.113777,42.385788,2143,"Boston",0,0,151,0,0,877,0,0,0,0,0,0,514,0,0,0,461,197,0,1879,0,0,774,183,0,0,4867,68,0,0,586,10557
"6","Cumberland Farms",-71.073553,42.332967,2118,"Boston",0,0,197,0,0,1884,0,0,0,0,0,0,1157,0,0,0,987,1091,21,5337,0,0,1541,1376,0,0,14785,0,0,0,955,29331
"7","Dollar Express",-71.024126,42.401594,2150,"Boston",0,0,11,96,53,281,0,0,48,38,0,316,173,0,248,0,1161,1101,1286,2758,61,0,595,183,0,0,2598,117,31,0,13,11168
"8","Family Dollar",-71.046499,42.33574,2127,"Boston",0,0,162,126,80,611,0,0,400,192,0,462,623,0,537,0,1493,2031,1613,3559,112,0,1257,451,0,0,5641,196,15,0,16,19577
"9","Family Dollar",-71.047104,42.415376,2149,"Boston",0,0,161,126,23,393,0,0,43,83,0,50,218,0,73,0,1806,1260,812,4059,84,0,1021,146,0,0,2856,174,3,0,50,13441
"10","Family Dollar",-71.038226,42.375524,2128,"Boston",0,0,182,110,70,200,0,0,58,83,0,466,85,0,685,0,1685,1522,2359,3635,99,0,854,180,0,0,2917,135,4,0,58,15387
